timestamp,time,exchange,symbol,bid,bidVolume,ask,askVolume,lastPrice,baseVolume,quoteVolume
1753504792074,04:39:52.074,bybit,AAVE/USDT:USDT,297.52,0.02,297.53,0.76,297.56,364286.05,106116808.4052
1753504792474,04:39:52.474,bybit,AAVE/USDT:USDT,297.52,0.02,297.53,8.24,297.56,364286.05,106116808.4052
1753504792974,04:39:52.974,bybit,AAVE/USDT:USDT,297.52,0.89,297.53,4.73,297.56,364286.05,106116808.4052
1753504793174,04:39:53.174,bybit,AAVE/USDT:USDT,297.52,0.89,297.53,4.73,297.56,364286.05,106116808.4052
1753504795274,04:39:55.274,bybit,AAVE/USDT:USDT,297.52,0.89,297.54,0.42,297.53,364286.55,106116957.1702
1753504795375,04:39:55.375,bybit,AAVE/USDT:USDT,297.52,0.89,297.54,0.42,297.53,364286.55,106116957.1702
1753504795574,04:39:55.574,bybit,AAVE/USDT:USDT,297.52,1.34,297.54,0.42,297.53,364286.55,106116957.1702
1753504796874,04:39:56.874,bybit,AAVE/USDT:USDT,297.52,1.34,297.53,0.42,297.53,364286.55,106116957.1702
1753504797374,04:39:57.374,bybit,AAVE/USDT:USDT,297.52,3.07,297.53,0.42,297.53,364286.55,106116957.1702
1753504797475,04:39:57.475,bybit,AAVE/USDT:USDT,297.53,0.42,297.55,0.22,297.53,364286.55,106116957.1702
1753504797574,04:39:57.574,bybit,AAVE/USDT:USDT,297.53,1.23,297.55,0.22,297.53,364286.55,106116957.1702
1753504797674,04:39:57.674,bybit,AAVE/USDT:USDT,297.55,0.42,297.56,0.03,297.53,364286.55,106116957.1702
1753504797774,04:39:57.774,bybit,AAVE/USDT:USDT,297.55,0.42,297.56,0.25,297.53,364286.55,106116957.1702
1753504797875,04:39:57.875,bybit,AAVE/USDT:USDT,297.55,0.38,297.56,0.25,297.53,364286.55,106116957.1702
1753504798074,04:39:58.074,bybit,AAVE/USDT:USDT,297.55,0.51,297.56,0.25,297.53,364286.55,106116957.1702
1753504798174,04:39:58.174,bybit,AAVE/USDT:USDT,297.55,2.23,297.56,0.25,297.53,364286.55,106116957.1702
1753504798574,04:39:58.574,bybit,AAVE/USDT:USDT,297.55,3.04,297.56,0.25,297.53,364286.55,106116957.1702
1753504798774,04:39:58.774,bybit,AAVE/USDT:USDT,297.55,3.04,297.56,0.91,297.53,364286.55,106116957.1702
1753504799474,04:39:59.474,bybit,AAVE/USDT:USDT,297.55,3.04,297.56,0.91,297.53,364286.55,106116957.1702
1753504799574,04:39:59.574,bybit,AAVE/USDT:USDT,297.55,2.96,297.56,0.91,297.53,364286.55,106116957.1702
1753504800074,04:40:00.074,bybit,AAVE/USDT:USDT,297.55,2.96,297.56,0.03,297.53,364286.55,106116957.1702
1753504800374,04:40:00.374,bybit,AAVE/USDT:USDT,297.55,2.96,297.56,0.89,297.53,364286.55,106116957.1702
1753504800975,04:40:00.975,bybit,AAVE/USDT:USDT,297.55,2.96,297.56,0.89,297.53,364286.55,106116957.1702
1753504801174,04:40:01.174,bybit,AAVE/USDT:USDT,297.55,3.81,297.56,0.89,297.53,364286.55,106116957.1702
1753504801574,04:40:01.574,bybit,AAVE/USDT:USDT,297.55,3.81,297.56,0.89,297.53,364286.55,106116957.1702
1753504801775,04:40:01.775,bybit,AAVE/USDT:USDT,297.55,3.81,297.56,0.47,297.53,364286.55,106116957.1702
1753504802774,04:40:02.774,bybit,AAVE/USDT:USDT,297.55,3.81,297.56,0.03,297.53,364286.55,106116957.1702
