timestamp,time,symbol,bid1_price,bid1_volume,bid2_price,bid2_volume,ask1_price,ask1_volume,ask2_price,ask2_volume
1753503304504,04:15:04.504,AAVE/USDT:USDT,297.47,105.6,297.46,39.7,297.48,75.0,297.5,28.6
1753503304604,04:15:04.604,AAVE/USDT:USDT,297.47,85.4,297.46,39.7,297.48,102.8,297.49,28.0
1753503305304,04:15:05.304,AAVE/USDT:USDT,297.47,83.3,297.46,0.7,297.48,155.1,297.49,28.0
1753503305604,04:15:05.604,AAVE/USDT:USDT,297.47,83.3,297.46,0.7,297.48,263.6,297.49,28.0
1753503305704,04:15:05.704,AAVE/USDT:USDT,297.47,83.3,297.46,0.7,297.48,263.6,297.49,28.0
1753503306704,04:15:06.704,AAVE/USDT:USDT,297.47,83.3,297.46,0.7,297.48,268.3,297.49,28.0
1753503306804,04:15:06.804,AAVE/USDT:USDT,297.47,83.3,297.46,0.7,297.48,268.3,297.49,45.6
1753503307204,04:15:07.204,AAVE/USDT:USDT,297.47,83.3,297.46,0.7,297.48,268.3,297.49,28.0
1753503307304,04:15:07.304,AAVE/USDT:USDT,297.47,83.2,297.46,0.7,297.48,268.5,297.49,28.0
1753503307404,04:15:07.404,AAVE/USDT:USDT,297.47,83.2,297.46,0.7,297.48,268.5,297.49,28.0
1753503307804,04:15:07.804,AAVE/USDT:USDT,297.45,0.8,297.44,1.1,297.46,380.3,297.47,131.6
1753503308204,04:15:08.204,AAVE/USDT:USDT,297.45,0.8,297.44,1.1,297.46,404.3,297.47,131.6
1753503308404,04:15:08.404,AAVE/USDT:USDT,297.45,1.2,297.44,1.1,297.46,395.8,297.47,130.8
1753503309004,04:15:09.004,AAVE/USDT:USDT,297.45,1.2,297.44,1.1,297.46,348.4,297.47,83.4
1753503310504,04:15:10.504,AAVE/USDT:USDT,297.45,1.1,297.44,1.1,297.46,423.6,297.47,96.5
1753503310904,04:15:10.904,AAVE/USDT:USDT,297.45,1.1,297.44,1.1,297.46,423.6,297.47,96.5
1753503311004,04:15:11.004,AAVE/USDT:USDT,297.45,1.1,297.44,1.1,297.46,423.6,297.47,96.5
1753503311104,04:15:11.104,AAVE/USDT:USDT,297.45,1.1,297.44,1.1,297.46,394.0,297.47,66.9
1753503311204,04:15:11.204,AAVE/USDT:USDT,297.45,1.1,297.44,1.1,297.46,439.9,297.47,112.8
1753503311304,04:15:11.304,AAVE/USDT:USDT,297.45,1.1,297.44,1.1,297.46,440.7,297.47,112.8
1753503311604,04:15:11.604,AAVE/USDT:USDT,297.45,1.1,297.44,1.1,297.46,440.6,297.47,112.8
1753503311704,04:15:11.704,AAVE/USDT:USDT,297.45,1.1,297.44,1.1,297.46,424.1,297.47,95.9
1753503311804,04:15:11.804,AAVE/USDT:USDT,297.45,1.1,297.44,1.1,297.46,424.1,297.47,95.9
1753503311904,04:15:11.904,AAVE/USDT:USDT,297.45,1.1,297.44,1.1,297.46,424.1,297.47,95.9
1753503312004,04:15:12.004,AAVE/USDT:USDT,297.45,1.1,297.44,1.1,297.46,424.1,297.47,95.9
1753503312304,04:15:12.304,AAVE/USDT:USDT,297.45,1.1,297.44,1.1,297.46,424.1,297.47,95.9
1753503312404,04:15:12.404,AAVE/USDT:USDT,297.45,1.1,297.44,1.1,297.46,442.5,297.47,112.8
1753503312504,04:15:12.504,AAVE/USDT:USDT,297.45,1.1,297.44,1.1,297.46,442.5,297.47,112.8
1753503312804,04:15:12.804,AAVE/USDT:USDT,297.45,1.1,297.44,1.1,297.46,425.6,297.47,95.9
1753503313604,04:15:13.604,AAVE/USDT:USDT,297.45,1.1,297.44,1.1,297.46,442.8,297.47,112.8
1753503314104,04:15:14.104,AAVE/USDT:USDT,297.45,37.6,297.44,15.1,297.46,380.0,297.47,34.7
1753503314304,04:15:14.304,AAVE/USDT:USDT,297.45,37.6,297.44,15.1,297.46,380.0,297.47,89.5
1753503314404,04:15:14.404,AAVE/USDT:USDT,297.45,37.6,297.44,15.1,297.46,380.0,297.47,34.7
1753503314504,04:15:14.504,AAVE/USDT:USDT,297.45,37.6,297.44,15.1,297.46,380.0,297.47,34.7
1753503315004,04:15:15.004,AAVE/USDT:USDT,297.45,37.6,297.44,15.1,297.46,425.9,297.47,107.5
1753503315504,04:15:15.504,AAVE/USDT:USDT,297.45,37.6,297.44,0.8,297.46,380.0,297.47,51.6
1753503316804,04:15:16.804,AAVE/USDT:USDT,297.45,114.9,297.44,56.8,297.46,54.9,297.48,30.0
1753503317004,04:15:17.004,AAVE/USDT:USDT,297.47,214.9,297.46,150.3,297.48,29.9,297.5,0.6
1753503317404,04:15:17.404,AAVE/USDT:USDT,297.51,182.0,297.5,152.1,297.52,98.0,297.53,65.6
1753503317804,04:15:17.804,AAVE/USDT:USDT,297.48,92.4,297.47,50.0,297.49,123.4,297.5,14.5
1753503317904,04:15:17.904,AAVE/USDT:USDT,297.49,235.4,297.48,110.3,297.5,0.2,297.51,77.7
1753503318804,04:15:18.804,AAVE/USDT:USDT,297.51,121.3,297.5,90.0,297.52,98.0,297.53,45.0
1753503319004,04:15:19.004,AAVE/USDT:USDT,297.51,139.7,297.5,114.8,297.52,98.0,297.53,45.0
1753503319104,04:15:19.104,AAVE/USDT:USDT,297.51,139.7,297.5,114.8,297.52,98.0,297.53,45.0
1753503319204,04:15:19.204,AAVE/USDT:USDT,297.51,228.7,297.5,114.8,297.52,98.4,297.53,45.0
1753503319304,04:15:19.304,AAVE/USDT:USDT,297.51,159.5,297.5,114.8,297.52,98.4,297.53,45.0
1753503319604,04:15:19.604,AAVE/USDT:USDT,297.51,159.6,297.5,114.8,297.52,98.4,297.53,45.0
1753503319704,04:15:19.704,AAVE/USDT:USDT,297.51,159.6,297.5,85.5,297.52,98.4,297.53,45.0
1753503319804,04:15:19.804,AAVE/USDT:USDT,297.51,167.3,297.5,85.5,297.52,98.4,297.53,45.0
1753503320404,04:15:20.404,AAVE/USDT:USDT,297.51,274.8,297.5,92.9,297.52,98.4,297.53,45.0
